,degree,weighted_degree,eigenvector_centrality,betweenness,consistency_mean,consistency_min,consistency_max,consistency_std,consistency_mean_min_std,consistency_neighbors_0.8,consistency_neighbors_0.9,consistency_neighbors_1.0,ccode,name,latitude,longitude,consensus
HON,33,33.0,0.9360952593819657,0.0,0.9945454545454545,0.8200000000000001,1.0,0.03085556863359479,0.9636898859118597,1.0,0.9696969696969697,0.9696969696969697,91,Honduras,15.2572432,-86.0755145,1
NIG,14,14.0,0.0015313253722226917,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,475,Nigeria,9.6000359,7.999972099999999,0
TUR,24,25.0,0.11932231157566628,766.673360644731,0.945,0.6799999999999999,1.0,0.11169153951844339,0.8333084604815566,0.875,0.7916666666666666,0.7916666666666666,640,Turkey,38.959759399999996,34.9249653,2
DJI,19,19.0,6.023383004127667e-06,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,522,Djibouti,11.856775500000001,42.7577845,3
GRN,33,39.0,0.9360952593819655,0.0,0.9945454545454545,0.8200000000000001,1.0,0.03085556863359479,0.9636898859118597,1.0,0.9696969696969697,0.9696969696969697,55,Grenada,12.136037400000001,-61.69040450000001,1
TKM,15,18.0,0.00437269915561025,92.21795636645827,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,701,Turkmenistan,39.376380700000006,59.392460899999996,5
MLD,13,14.0,0.006923712855765397,29.71046345184717,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,359,Moldova,47.286747,28.511023600000005,5
ARM,11,21.0,0.0032862680620339762,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,371,Armenia,40.7696272,44.6736646,5
KZK,12,25.0,0.003377734612795947,1.2174185463659146,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,705,Kazakhstan,47.2286086,65.20931970000001,5
JAM,33,33.0,0.936095259381965,0.0,0.9945454545454545,0.8200000000000001,1.0,0.030855568633594795,0.9636898859118597,1.0,0.9696969696969697,0.9696969696969697,51,Jamaica,18.185050699999998,-77.3947693,1
ERI,1,1.0,2.978342668069933e-08,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,531,Eritrea,15.950031900000003,37.999966799999996,4
PHI,1,1.0,0.030182033327639114,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,840,Philippines,12.750348599999999,122.7312101,1
CON,15,22.0,0.00015690886182140583,150.62618494419897,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,484,Congo,-0.7264326999999999,15.6419155,4
GUY,33,33.0,0.9360952593819656,0.0,0.9945454545454545,0.8200000000000001,1.0,0.03085556863359479,0.9636898859118597,1.0,0.9696969696969697,0.9696969696969697,110,Guyana,4.8417097,-58.64168910000001,1
BEN,14,14.0,0.0015313253722226917,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,434,Benin,9.5293472,2.2584408,0
COS,33,33.0,0.9360952593819648,0.0,0.9945454545454545,0.8200000000000001,1.0,0.03085556863359479,0.9636898859118597,1.0,0.9696969696969697,0.9696969696969697,94,Costa Rica,10.2735633,-84.0739102,1
OMA,19,24.0,6.023383003974945e-06,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,698,Oman,21.000028699999998,57.00369010000001,3
UGA,10,10.0,3.2636029682191645e-05,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,500,Uganda,1.5333553999999998,32.2166578,4
TOG,14,14.0,0.0015313253722226536,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,461,Togo,8.7800265,1.0199764999999998,0
AUL,1,1.0,0.030182033327639114,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,900,Australia,-24.7761086,134.755,1
CHN,10,12.0,0.0031219631965290484,79.44057024569358,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,710,China,35.000074,104.999927,5
HAI,33,33.0,0.9360952593819648,0.0,0.9945454545454545,0.8200000000000001,1.0,0.03085556863359479,0.9636898859118597,1.0,0.9696969696969697,0.9696969696969697,41,Haiti,19.139995199999998,-72.35709720000001,1
CAN,51,53.0,0.9960302513794466,1128.7856837606842,0.9964705882352941,0.8200000000000001,1.0,0.02495670992423108,0.9715138783110631,1.0,0.9803921568627451,0.9803921568627451,20,Canada,61.0666922,-107.9917071,1
KUW,19,40.0,6.023383004051306e-06,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,690,Kuwait,29.2733964,47.4979476,3
SAU,19,40.0,6.023383004127667e-06,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,670,Saudi Arabia,25.624261800000003,42.352832799999995,3
BLR,14,24.0,0.007191120481392125,50.475408408324355,0.9771428571428571,0.6799999999999999,1.0,0.08241260058203405,0.8947302565608231,0.9285714285714286,0.9285714285714286,0.9285714285714286,370,Belarus,53.4250605,27.6971358,5
IND,1,1.0,0.0009296938602669278,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,750,India,22.3511148,78.6677428,5
QAT,19,40.0,6.023383004127667e-06,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,694,Qatar,25.3336984,51.2295295,3
NOR,18,18.0,0.11703908242536624,0.0,0.99,0.8200000000000001,1.0,0.04123105625617659,0.9487689437438234,1.0,0.9444444444444444,0.9444444444444444,385,Norway,64.5731537,11.5280364,2
YUG,2,2.0,0.00011229102828003162,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,345,Yugoslavia,8.1939477,-64.5043374,2
ECU,33,34.0,0.9360952593819651,0.0,0.9945454545454545,0.8200000000000001,1.0,0.03085556863359479,0.9636898859118597,1.0,0.9696969696969697,0.9696969696969697,130,Ecuador,-1.3397668,-79.3666965,1
DRC,15,21.0,0.000156908861821444,150.62618494419897,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,490,Democratic Republic of the Congo,-2.9814344,23.822263600000003,4
RWA,15,20.0,0.00015690886182159674,150.62618494419897,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,517,Rwanda,-1.9646631,30.064435800000002,4
CDI,14,14.0,0.0015313253722226917,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,437,Ivory Coast,7.9897371,-5.5679457999999995,0
BEL,18,26.0,0.11703908242536609,0.0,0.99,0.8200000000000001,1.0,0.04123105625617659,0.9487689437438234,1.0,0.9444444444444444,0.9444444444444444,211,Belgium,50.6402809,4.666714499999999,2
CAO,10,10.0,0.00015185530791760675,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,471,Cameroon,4.6125522000000005,13.153581099999998,4
PER,33,33.0,0.9360952593819655,0.0,0.9945454545454545,0.8200000000000001,1.0,0.030855568633594795,0.9636898859118597,1.0,0.9696969696969697,0.9696969696969697,135,Peru,-6.8699697,-75.0458515,1
SUD,30,46.0,4.1916357738275475e-05,676.5916919576317,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,625,Sudan,15.453743900000001,29.795152500000004,3
BHM,33,33.0,0.9360952593819651,0.0,0.9945454545454545,0.8200000000000001,1.0,0.03085556863359479,0.9636898859118597,1.0,0.9696969696969697,0.9696969696969697,31,Bahamas,24.7736546,-78.0000547,1
GMY,19,19.0,0.11841422151336903,32.25235042735042,0.9905263157894737,0.8200000000000001,1.0,0.04019343808849848,0.9503328777009752,1.0,0.9473684210526315,0.9473684210526315,255,Germany,51.0834196,10.4234469,2
LIB,19,39.0,6.023383003974945e-06,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,620,Libya,26.8234472,18.1236723,3
SKN,33,43.0,0.9360952593819653,0.0,0.9945454545454545,0.8200000000000001,1.0,0.03085556863359479,0.9636898859118597,1.0,0.9696969696969697,0.9696969696969697,60,St. Kitts and Nevis,17.3462278,-62.7687277,1
UZB,17,35.0,0.004615826866036607,177.78046916727757,0.9894117647058823,0.8200000000000001,1.0,0.04235294117647057,0.9470588235294117,1.0,0.9411764705882353,0.9411764705882353,704,Uzbekistan,41.32373,63.9528098,5
POL,26,27.0,0.11979265631863822,576.937278072804,0.9930769230769231,0.8200000000000001,1.0,0.0346153846153846,0.9584615384615385,1.0,0.9615384615384616,0.9615384615384616,290,Poland,52.215933,19.134422,2
ALB,2,2.0,0.0038768685162029934,0.0,0.84,0.6799999999999999,1.0,0.16000000000000003,0.6799999999999999,0.5,0.5,0.5,339,Albania,41.000028,19.9999619,2
GAM,14,14.0,0.0015313253722226154,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,420,Gambia,13.470061999999999,-15.4900464,0
GUA,33,33.0,0.9360952593819656,0.0,0.9945454545454545,0.8200000000000001,1.0,0.03085556863359479,0.9636898859118597,1.0,0.9696969696969697,0.9696969696969697,90,Guatemala,15.635608800000002,-89.8988087,1
BUI,15,20.0,0.00015690886182159674,150.62618494419897,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,516,Burundi,-3.3634357,29.8870575,4
DMA,33,43.0,0.9360952593819655,0.0,0.9945454545454545,0.8200000000000001,1.0,0.03085556863359479,0.9636898859118597,1.0,0.9696969696969697,0.9696969696969697,54,Dominica,15.4113138,-61.3653618,1
GUI,14,15.0,0.0015313253722226536,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,438,Guinea,10.7226226,-10.7083587,0
PRK,3,3.0,0.002424034101136823,22.61111111111111,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,731,North Korea,40.37366110000001,127.08704170000001,5
AFG,6,6.0,0.0014778851575686766,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,700,Afghanistan,33.7680065,66.2385139,5
DOM,33,33.0,0.9360952593819655,0.0,0.9945454545454545,0.8200000000000001,1.0,0.03085556863359479,0.9636898859118597,1.0,0.9696969696969697,0.9696969696969697,42,Dominican Republic,19.0974031,-70.30280259999999,1
ROM,4,4.0,0.007551569145211506,4.222222222222221,0.7149999999999999,0.5,1.0,0.180208212909401,0.5347917870905988,0.25,0.25,0.25,360,Romania,45.98521289999999,24.6859225,2
PAN,33,33.0,0.9360952593819656,0.0,0.9945454545454545,0.8200000000000001,1.0,0.03085556863359479,0.9636898859118597,1.0,0.9696969696969697,0.9696969696969697,95,Panama,8.559559,-81.1308434,1
ICE,18,19.0,0.11703908242536616,0.0,0.99,0.8200000000000001,1.0,0.04123105625617659,0.9487689437438234,1.0,0.9444444444444444,0.9444444444444444,395,Iceland,64.9841821,-18.1059013,2
SLU,33,43.0,0.9360952593819657,0.0,0.9945454545454545,0.8200000000000001,1.0,0.030855568633594795,0.9636898859118597,1.0,0.9696969696969697,0.9696969696969697,56,St. Lucia,13.8250489,-60.975035999999996,1
JPN,1,1.0,0.030182033327639118,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,740,Japan,36.5748441,139.2394179,1
MLI,14,14.0,0.0015313253722226154,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,432,Mali,16.3700359,-2.2900238999999996,0
SAL,33,33.0,0.9360952593819653,0.0,0.9945454545454545,0.8200000000000001,1.0,0.030855568633594795,0.9636898859118597,1.0,0.9696969696969697,0.9696969696969697,92,El Salvador,13.800038199999998,-88.9140683,1
BFO,14,14.0,0.0015313253722226536,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,439,Burkina Faso,12.075308300000001,-1.6880313999999998,0
GRC,20,29.0,0.11752773416537561,81.13552867383518,0.959,0.6799999999999999,1.0,0.10089103032480144,0.8581089696751986,0.9,0.85,0.85,350,Greece,38.995368299999996,21.987713199999998,2
KYR,12,26.0,0.0033777346127958703,1.2174185463659146,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,703,Kyrgyzstan,41.2196872,74.97738709999999,5
LUX,18,26.0,0.11703908242536631,0.0,0.99,0.8200000000000001,1.0,0.04123105625617659,0.9487689437438234,1.0,0.9444444444444444,0.9444444444444444,212,Luxembourg,49.8158683,6.1296751,2
MOR,19,39.0,6.023383004204029e-06,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,600,Morocco,31.1728205,-7.3362482,3
NTH,18,26.0,0.11703908242536616,0.0,0.99,0.8200000000000001,1.0,0.04123105625617659,0.9487689437438234,1.0,0.9444444444444444,0.9444444444444444,210,Netherlands,52.2472693,5.5412235,2
GHA,14,14.0,0.0015313253722226154,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,452,Ghana,8.0300284,-1.0800271000000001,0
